,task1before,task1new,task2before,task2new,task3before,task3new,task4before,task4new,task5before,task5new
session1,0.51,0.586,0.95,0.971,-1,-1,0.931,0.974,0.702,0.814
session2,-1.0,-1.0,0.876,0.879,-1,-1,0.793,0.814,0.705,0.74
session3,-1.0,-1.0,0.581,0.688,-1,-1,-1.0,-1.0,-1.0,-1.0
session4,-1.0,-1.0,0.919,0.924,-1,-1,0.874,0.917,0.536,0.536
session5,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,0.51,0.671
session6,-1.0,-1.0,0.948,0.995,-1,-1,0.988,0.988,-1.0,-1.0
accuracy,0.51,0.586,0.855,0.891,0,0,0.896,0.923,0.613,0.69
