,task1before,task1new,task2before,task2new,task3before,task3new,task4before,task4new,task5before,task5new
session1,-1.0,-1.0,0.614,0.74,-1,-1,0.762,0.864,0.59,0.805
session2,-1.0,-1.0,-1.0,-1.0,-1,-1,0.521,0.752,0.636,0.724
session3,0.557,0.671,0.888,0.94,-1,-1,0.752,0.886,-1.0,-1.0
session4,0.583,0.724,-1.0,-1.0,-1,-1,0.643,0.795,-1.0,-1.0
session5,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0
session6,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0
accuracy,0.57,0.698,0.751,0.84,0,0,0.67,0.824,0.613,0.764
