,task1before,task1new,task2before,task2new,task3before,task3new,task4before,task4new,task5before,task5new
session1,0.643,0.771,0.602,0.626,0.633,0.812,0.595,0.707,0.7,0.9
session2,-1.0,-1.0,0.598,0.7,-1.0,-1.0,-1.0,-1.0,0.731,0.795
session3,-1.0,-1.0,-1.0,-1.0,0.512,0.619,-1.0,-1.0,-1.0,-1.0
session4,-1.0,-1.0,0.662,0.717,-1.0,-1.0,-1.0,-1.0,0.726,0.831
session5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
session6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.667,0.724
accuracy,0.643,0.771,0.621,0.681,0.573,0.715,0.595,0.707,0.706,0.812
