,task1before,task1new,task2before,task2new,task3before,task3new,task4before,task4new,task5before,task5new
session1,0.943,0.971,0.879,0.945,0.743,0.86,0.719,0.802,0.898,0.898
session2,-1.0,-1.0,0.643,0.819,0.612,0.707,-1.0,-1.0,0.921,0.924
session3,0.95,0.962,0.669,0.798,0.5,0.695,0.924,0.99,-1.0,-1.0
session4,-1.0,-1.0,0.848,0.905,0.786,0.86,0.843,0.905,0.686,0.714
session5,0.674,0.693,0.814,0.876,0.786,0.802,0.819,0.845,-1.0,-1.0
session6,0.888,0.986,0.626,0.745,0.595,0.738,0.61,0.717,0.662,0.812
accuracy,0.864,0.903,0.746,0.848,0.67,0.777,0.783,0.852,0.792,0.837
