,task1before,task1new,task2before,task2new,task3before,task3new,task4before,task4new,task5before,task5new
session1,-1.0,-1.0,0.617,0.836,-1.0,-1.0,0.736,0.802,0.798,0.876
session2,0.562,0.648,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.79,0.867
session3,-1.0,-1.0,0.881,0.926,0.621,0.729,0.533,0.657,-1.0,-1.0
session4,0.526,0.664,0.643,0.788,0.617,0.729,0.521,0.712,-1.0,-1.0
session5,0.5,0.645,0.59,0.717,0.533,0.781,0.631,0.755,-1.0,-1.0
session6,0.71,0.781,0.51,0.617,-1.0,-1.0,0.56,0.66,0.583,0.764
accuracy,0.574,0.685,0.648,0.777,0.59,0.746,0.596,0.717,0.724,0.836
