,task1before,task1new,task2before,task2new,task3before,task3new,task4before,task4new,task5before,task5new
session1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0
session2,-1.0,-1.0,0.911,0.933,-1,-1,0.772,0.808,0.717,0.744
session3,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0
session4,-1.0,-1.0,0.994,0.997,-1,-1,0.878,0.947,0.914,0.914
session5,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0
session6,0.794,0.864,1.0,1.0,-1,-1,0.742,0.753,0.803,0.803
accuracy,0.794,0.864,0.969,0.977,0,0,0.797,0.836,0.811,0.82
