,task1before,task1new,task2before,task2new,task3before,task3new,task4before,task4new,task5before,task5new
session1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
session2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
session3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
session4,0.881,0.898,0.619,0.819,0.514,0.664,-1.0,-1.0,0.767,0.898
session5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.605,0.655,-1.0,-1.0
session6,0.557,0.693,0.762,0.876,-1.0,-1.0,-1.0,-1.0,0.526,0.686
accuracy,0.719,0.795,0.69,0.848,0.514,0.664,0.605,0.655,0.646,0.792
