,task1before,task1new,task2before,task2new,task3before,task3new,task4before,task4new,task5before,task5new
session1,-1.0,-1.0,-1.0,-1.0,-1,-1,0.764,0.831,0.533,0.617
session2,0.502,0.617,-1.0,-1.0,-1,-1,0.824,0.898,0.529,0.712
session3,-1.0,-1.0,-1.0,-1.0,-1,-1,0.657,0.724,0.638,0.671
session4,0.576,0.65,-1.0,-1.0,-1,-1,0.843,0.955,-1.0,-1.0
session5,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,0.719,0.771
session6,-1.0,-1.0,0.679,0.81,-1,-1,0.655,0.764,-1.0,-1.0
accuracy,0.539,0.633,0.679,0.81,0,0,0.749,0.834,0.605,0.693
