,task1before,task1new,task2before,task2new,task3before,task3new,task4before,task4new,task5before,task5new
session1,0.807,0.905,-1.0,-1.0,-1.0,-1.0,0.79,0.902,-1.0,-1.0
session2,0.555,0.75,0.733,0.767,0.621,0.69,0.871,0.94,-1.0,-1.0
session3,-1.0,-1.0,-1.0,-1.0,0.5,0.679,0.65,0.788,0.633,0.776
session4,0.767,0.862,-1.0,-1.0,0.55,0.662,0.855,0.936,0.717,0.757
session5,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
session6,0.717,0.812,-1.0,-1.0,-1.0,-1.0,0.912,0.948,0.564,0.781
accuracy,0.769,0.866,0.733,0.767,0.557,0.677,0.816,0.903,0.638,0.771
