,task1before,task1new,task2before,task2new,task3before,task3new,task4before,task4new,task5before,task5new
session1,-1.0,-1.0,0.84,0.955,-1.0,-1.0,-1.0,-1.0,0.738,0.829
session2,-1.0,-1.0,0.583,0.76,0.7,0.779,0.524,0.76,0.905,0.938
session3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
session4,-1.0,-1.0,0.695,0.919,-1.0,-1.0,0.669,0.81,0.581,0.76
session5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
session6,0.631,0.781,0.581,0.819,-1.0,-1.0,-1.0,-1.0,0.879,0.907
accuracy,0.631,0.781,0.675,0.863,0.7,0.779,0.596,0.785,0.776,0.858
