,task1before,task1new,task2before,task2new,task3before,task3new,task4before,task4new,task5before,task5new
session1,0.636,0.726,0.681,0.686,-1.0,-1.0,0.567,0.788,0.802,0.9
session2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7,0.838,0.645,0.714
session3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.733,0.831,0.948,0.981
session4,0.567,0.619,0.74,0.85,0.719,0.779,0.507,0.65,-1.0,-1.0
session5,-1.0,-1.0,0.638,0.738,0.61,0.819,0.581,0.74,0.686,0.831
session6,0.755,0.874,-1.0,-1.0,0.521,0.736,0.812,0.917,0.693,0.843
accuracy,0.652,0.74,0.687,0.758,0.617,0.778,0.65,0.794,0.755,0.854
